train_id,train_station,line,first_station,last_station,planned_departure,actual_departure,delay_minutes,delayed
10438,Köln Hbf,RB24,Kall,Köln Messe/Deutz,2025-08-08 16:15:00,2025-08-08 16:17:00,2,1
31605,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 16:17:00,2025-08-08 16:17:00,0,0
10921,Köln Hbf,RE9,Aachen Hbf,Siegen Hbf,2025-08-08 16:23:00,2025-08-08 16:23:00,0,0
89729,Köln Hbf,RE6,Köln/Bonn Flughafen,Minden(Westf),2025-08-08 16:07:00,2025-08-08 16:16:00,9,1
33212,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 16:11:00,2025-08-08 16:12:00,1,1
33211,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 16:10:00,2025-08-08 16:12:00,2,1
10553,Köln Hbf,RB25,Gummersbach,Köln Hansaring,2025-08-08 16:07:00,2025-08-08 16:08:00,1,1
1030,Köln Hbf,ICE,Düsseldorf Hbf,Hamburg-Altona,2025-08-08 16:04:00,2025-08-08 16:07:00,3,1
518,Köln Hbf,ICE,München Hbf,Hamburg-Altona,2025-08-08 16:11:00,2025-08-08 16:13:00,2,1
30690,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 16:04:00,2025-08-08 16:04:00,0,0
26854,Köln Hbf,RE1,Düsseldorf Hbf,Aachen Hbf,2025-08-08 16:04:00,2025-08-08 16:04:00,0,0
31609,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 16:57:00,2025-08-08 16:58:00,1,1
31096,Köln Hbf,S19,Düren,Au(Sieg),2025-08-08 16:01:00,2025-08-08 16:01:00,0,0
31097,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 16:00:00,2025-08-08 16:01:00,1,1
33746,Köln Hbf,RE8,Troisdorf,Rommerskirchen,2025-08-08 16:59:00,2025-08-08 16:59:00,0,0
33743,Köln Hbf,RE8,Rommerskirchen,Troisdorf,2025-08-08 16:03:00,2025-08-08 16:03:00,0,0
32005,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 17:00:00,2025-08-08 17:01:00,1,1
25435,Köln Hbf,RB26,Köln Messe/Deutz,Mainz Hbf,2025-08-08 17:56:00,2025-08-08 17:58:00,2,1
8,Köln Hbf,EC,Zürich HB,Hamburg-Altona,2025-08-08 17:09:00,2025-08-08 17:43:00,34,1
10439,Köln Hbf,RB24,Köln Messe/Deutz,Euskirchen,2025-08-08 17:12:00,2025-08-08 17:12:00,0,0
33113,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:14:00,2025-08-08 17:21:00,7,1
25430,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 17:05:00,2025-08-08 17:44:00,39,1
10559,Köln Hbf,RB25,Gummersbach,Köln Hansaring,2025-08-08 17:07:00,2025-08-08 17:07:00,0,0
929,Köln Hbf,ICE,Dortmund Hbf,Passau Hbf,2025-08-08 17:53:00,2025-08-08 17:55:00,2,1
10042,Köln Hbf,RE22,Kall,Köln Messe/Deutz,2025-08-08 17:42:00,2025-08-08 17:43:00,1,1
89733,Köln Hbf,RE6,Köln/Bonn Flughafen,Minden(Westf),2025-08-08 18:07:00,2025-08-08 18:07:00,0,0
28525,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 17:32:00,2025-08-08 17:41:00,9,1
32010,Köln Hbf,S19,Düren,Blankenberg(Sieg),2025-08-08 17:41:00,2025-08-08 17:41:00,0,0
31600,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:24:00,2025-08-08 17:24:00,0,0
33118,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 17:47:00,2025-08-08 17:48:00,1,1
33224,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 17:11:00,2025-08-08 17:11:00,0,0
33112,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 17:07:00,2025-08-08 17:21:00,14,1
28526,Köln Hbf,RE5,Koblenz Hbf,Oberhausen Hbf,2025-08-08 17:31:00,2025-08-08 17:32:00,1,1
26829,Köln Hbf,RE1,Aachen Hbf,Hamm(Westf)Hbf,2025-08-08 17:49:00,2025-08-08 17:50:00,1,1
613,Köln Hbf,ICE,Kiel Hbf,München Hbf,2025-08-08 17:55:00,2025-08-08 18:40:00,45,1
10924,Köln Hbf,RE9,Siegen Hbf,Aachen Hbf,2025-08-08 17:47:00,2025-08-08 17:48:00,1,1
32004,Köln Hbf,S19,Düren,Au(Sieg),2025-08-08 17:01:00,2025-08-08 17:03:00,2,1
33119,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:54:00,2025-08-08 18:07:00,13,1
31617,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 17:57:00,2025-08-08 17:58:00,1,1
30698,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:04:00,2025-08-08 17:22:00,18,1
33747,Köln Hbf,RE8,Rommerskirchen,Troisdorf,2025-08-08 17:03:00,2025-08-08 17:03:00,0,0
89731,Köln Hbf,RE6,Köln/Bonn Flughafen,Minden(Westf),2025-08-08 17:07:00,2025-08-08 17:07:00,0,0
10561,Köln Hbf,RB25,Lüdenscheid-Brügge,Köln Hansaring,2025-08-08 17:37:00,2025-08-08 17:38:00,1,1
10440,Köln Hbf,RB24,Kall,Köln Messe/Deutz,2025-08-08 17:15:00,2025-08-08 17:17:00,2,1
713,Köln Hbf,ICE,Siegburg/Bonn,Frankfurt(Main)Hbf,2025-08-08 17:31:00,2025-08-08 17:31:00,0,0
17426,Köln Hbf,RE7,Krefeld Hbf,Rheine,2025-08-08 17:21:00,2025-08-08 17:36:00,15,1
32005,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 17:00:00,2025-08-08 17:00:00,0,0
17355,Köln Hbf,RB48,Wuppertal-Oberbarmen,Bonn-Mehlem,2025-08-08 17:37:00,2025-08-08 17:37:00,0,0
26824,Köln Hbf,RE1,Hamm(Westf)Hbf,Aachen Hbf,2025-08-08 17:15:00,2025-08-08 17:31:00,16,1
17425,Köln Hbf,RE7,Rheine,Krefeld Hbf,2025-08-08 17:41:00,2025-08-08 17:46:00,5,1
33230,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 17:51:00,2025-08-08 17:51:00,0,0
157,Köln Hbf,ICE,Amsterdam Centraal,Frankfurt(Main)Hbf,2025-08-08 17:28:00,2025-08-08 17:28:00,0,0
10566,Köln Hbf,RB25,Köln Hansaring,Lüdenscheid-Brügge,2025-08-08 17:24:00,2025-08-08 17:24:00,0,0
10276,Köln Hbf,RB38,Köln Messe/Deutz,Bedburg(Erft),2025-08-08 17:29:00,2025-08-08 17:29:00,0,0
12,Köln Hbf,ICE,Aachen Hbf,Bruxelles Midi,2025-08-08 17:26:00,2025-08-08 17:27:00,1,1
33748,Köln Hbf,RB27,Troisdorf,Mönchengladbach Hbf,2025-08-08 17:25:00,2025-08-08 17:26:00,1,1
32011,Köln Hbf,S19,Hennef(Sieg),Düren,2025-08-08 17:40:00,2025-08-08 17:48:00,8,1
33750,Köln Hbf,RE8,Troisdorf,Rommerskirchen,2025-08-08 17:59:00,2025-08-08 17:59:00,0,0
32008,Köln Hbf,S19,Düren,Hennef(Sieg),2025-08-08 17:21:00,2025-08-08 17:23:00,2,1
10923,Köln Hbf,RE9,Aachen Hbf,Siegen Hbf,2025-08-08 17:23:00,2025-08-08 17:23:00,0,0
33115,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:34:00,2025-08-08 17:34:00,0,0
