request_time,line,last_station,line_last,train_id,first_station,planned_departure,current_departure,track,message,train_station,is_delayed,delayed_minutes
2025-08-09 19:03:53.335574+02:00,S19,Sindorf,S19 Sindorf,32027,Hennef(Sieg),2025-08-09 19:40:00+02:00,2025-08-09 19:41:00+02:00,11 B-C,Verspätung eines vorausfahrenden Zuges Verspätung eines vorausfahrenden Zuges Verspätung eines vorausfahrenden Zuges Verspätung eines vorausfahrenden Zuges,Köln Hbf,1,1
2025-08-09 19:03:53.335574+02:00,S19,Hennef(Sieg),S19 Hennef(Sieg),32026,Sindorf,2025-08-09 19:41:00+02:00,2025-08-09 19:41:00+02:00,10 A-B,technische Störung am Zug technische Störung am Zug,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE22,Köln Messe/Deutz,RE22 Köln Messe/Deutz,10048,Euskirchen,2025-08-09 19:43:00+02:00,2025-08-09 19:43:00+02:00,1,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE9,Aachen Hbf,RE9 Aachen Hbf,10928,Siegen Hbf,2025-08-09 19:47:00+02:00,2025-08-09 19:47:00+02:00,8,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,S11,Bergisch Gladbach,S11 Bergisch Gladbach,33134,Düsseldorf Flughafen Terminal,2025-08-09 19:47:00+02:00,2025-08-09 20:09:00+02:00,10 A-B,technische Störung an einem anderen Zug technische Störung an einem anderen Zug,Köln Hbf,1,22
2025-08-09 19:03:53.335574+02:00,RE1,Hamm(Westf)Hbf,RE1 Hamm(Westf)Hbf,26833,Aachen Hbf,2025-08-09 19:49:00+02:00,2025-08-09 19:49:00+02:00,4 A-C,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,S12,Köln-Ehrenfeld,S12 Köln-Ehrenfeld,33295,Hennef(Sieg),2025-08-09 19:50:00+02:00,2025-08-09 19:51:00+02:00,11 B-C,No message,Köln Hbf,1,1
2025-08-09 19:03:53.335574+02:00,RB48,Wuppertal-Oberbarmen,RB48 Wuppertal-Oberbarmen,17364,Köln Messe/Deutz,2025-08-09 19:52:00+02:00,2025-08-09 19:52:00+02:00,1,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE6,Köln/Bonn Flughafen,RE6 Köln/Bonn Flughafen,89730,Minden(Westf),2025-08-09 19:52:00+02:00,2025-08-09 19:53:00+02:00,4 D-G,No message,Köln Hbf,1,1
2025-08-09 19:03:53.335574+02:00,ICE,Nürnberg Hbf,ICE Nürnberg Hbf,1021,Hamburg-Altona,2025-08-09 19:53:00+02:00,2025-08-09 19:56:00+02:00,7,keine Verspätungsbegründung keine Verspätungsbegründung,Köln Hbf,1,3
2025-08-09 19:03:53.335574+02:00,RB25,Engelskirchen,RB25 Engelskirchen,10576,Köln Hansaring,2025-08-09 19:54:00+02:00,,10 A-B,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,ICE,München Hbf,ICE München Hbf,615,Hamburg-Altona,2025-08-09 19:55:00+02:00,2025-08-09 20:07:00+02:00,5,technische Störung an der Strecke technische Störung an der Strecke keine Verspätungsbegründung,Köln Hbf,1,12
2025-08-09 19:03:53.335574+02:00,RB26,Bingen(Rhein) Hbf,RB26 Bingen(Rhein) Hbf,25439,Köln Messe/Deutz,2025-08-09 19:56:00+02:00,2025-08-09 19:56:00+02:00,9 D-G,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE7,Krefeld Hbf,RE7 Krefeld Hbf,17429,Rheine,2025-08-09 19:56:00+02:00,,9 D-G,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE12,Köln Messe/Deutz,RE12 Köln Messe/Deutz,4186,Euskirchen,2025-08-09 19:57:00+02:00,2025-08-09 19:57:00+02:00,1,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RE8,Rommerskirchen,RE8 Rommerskirchen,33758,Troisdorf,2025-08-09 19:59:00+02:00,2025-08-09 19:59:00+02:00,8,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,S19,Düren,S19 Düren,32029,Au(Sieg),2025-08-09 20:00:00+02:00,2025-08-09 20:01:00+02:00,11 B-C,No message,Köln Hbf,1,1
